role	text	intent	from.location	location	to.location
b	You're welcome!				
u	which cities are supported?	city_supported			
b	Nearest supported city is Washington, DC				
u	seriously?				
b	Your sentence does not have an intent				
					
u	hey	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Your sentence does not have an intent				
u	hey there! how does it work?	info			
b	Hi there! How can I help?				
u	I want to know what you are able to do	info			
b	Where are you?				
u	I am in ISMB, torino	set_position		ISMB, torino	
b	Ok I got your position				

u	start again	greeting			
b	Your sentence does not have an intent				
u	I want a bike	search_bike			
b	You can find 5 free bikes at station Marina 2&3				
u	locate me first	ask_position			
b	Where are you?				
u	Turin, Via Castelfidardo	set_position		Turin, Via Castelfidardo	
b	Your sentence does not have an intent				
u	I am in Via Castelfidardo, Turin	set_position		Via Castelfidardo, Turin	
b	Ok I got your position				
u	find me a bike	search_bike			
b	You can find 6 free bikes at station Politecnico 4				
u	thanks!	thank			
b	You're welcome!				
u	can you give me more information about the area?				
b	Unexpected intent: city_supported				
u	can I have info about the area?				
b	Your sentence does not have an intent				
u	I want information about the area				
b	Your sentence does not have an intent				
u	ok	end_discussion			

u	hi botcycle	greeting			
b	Hi there! How can I help?				
u	I wanna go to Lingotto	plan_trip			Lingotto
b	You can find 9 free bikes at station Politecnico 4				
b	You can find 5 empty slots at station Pio VII 2				
u	any bikes in the area?	search_bike			
b	You can find 6 free bikes at station E 11 St & Broadway				
u	ok	end_discussion			

u	hi bot	greeting			
b	Hi there! How can I help?				
u	are you there?	greeting			
b	Your sentence does not have an intent				
u	I want to have information about the area where I am right now				
b	You can find 8 empty slots at station Politecnico 4				
u	I am not at Politecnico now	ask_position			
b	Ok I got your position				
u	wrong position!	ask_position			
b	Where are you?				
u	I am in Settimo Torinese right now	set_position		Settimo Torinese	
b	Ok I got your position				
u	now give information about this area please				
b	Your sentence does not have an intent				
u	information about this area				
b	Your sentence does not have an intent				
u	gimme a bike	search_bike			
b	You can find 13 free bikes at station Carrara				
u	ok thanks	thank			
b	You're welcome!				
u	hey bot	greeting			
b	Hi there! How can I help?				
u	can I have some information about places around Politecnico?			Politecnico	
b	Nearest supported city is Cd de México				
u	can I have information about places around Central Park?			Central Park	
b	Your sentence does not have an intent				
u	do you know where I can leave a bike near Politecnico di Torino	search_slot		Politecnico di Torino	
b	You can find 20 empty slots at station Politecnico 1				
u	great thanks	thank			
b	You're welcome!				

u	can I have some information about places around Politecnico di Torino?			Politecnico di Torino	
b	Nearest supported city is Torino				
u	information about places in Torino!			Torino	
b	Yes, Torino is supported				
u	thanks	thank			
b	You're welcome!				
					
u	Hi				
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Your sentence does not have an intent				
u	What can I do?	info			
b	"I am BotCycle, a bot that can give you informations about bike sharing in your city.
Try to ask me something! ;)"				
u	do you have bike sharing in Nuremberg?	city_supported		Nuremberg	
b	Yes, Nürnberg is supported				
u	where are bike stations?	search_bike			
b	Impossible to find a place named ?				
u	I'm at Jakobsplatz, Nuremberg	set_position		Jakobsplatz, Nuremberg	
b	Ok I got your position				
b	Impossible to find a place named ?				
					
u	Hi kim here.	greeting			
b	Welcome! I am BotCycle and can give you bike sharing informations				
b	Hi there! How can I help?				
					
u	Hi!	greeting			
b	Hi there! How can I help?				
u	I want a bike in Singapore	search_bike		Singapore	
b	Impossible to find informations. Something went wrong!				
u	Hi there!	greeting			
b	Hi there! How can I help?				
					
